VpcId,GroupName,Ingress_Egress,IpProtocol,FromPort,ToPort,CidrIp,SourceSecurityGroupId,Description
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,22,22,10.212.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,22,22,10.215.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,443,443,10.212.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,443,443,10.215.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,445,445,10.212.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,445,445,10.215.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,3389,3389,10.212.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,3389,3389,10.215.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,ICMP,8,-1,10.212.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,ICMP,8,-1,10.215.96.0/19,,On-Premises Prod VDI
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.212.96.0/26,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.212.100.64/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.215.96.0/26,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.215.100.64/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.212.97.32/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1433,1433,10.215.97.32/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.212.96.0/26,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.212.100.64/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.215.96.0/26,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.215.100.64/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.212.97.32/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,1521,1521,10.215.97.32/27,,On-Premises Prod VDI pool00 and 11
,sin-cp1-basicinfra-sg,SecurityGroupIngress,TCP,2484,2484,10.212.96.0/26,,On-Premises Prod VDI pool00 and 11
